,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta0,-0.028,0.379,-0.73,0.659,0.016,0.014,583.0,818.0,1.0
beta1,0.009,0.001,0.007,0.011,0.0,0.0,4221.0,2529.0,1.0
beta2,-0.168,0.012,-0.189,-0.145,0.0,0.0,4518.0,3064.0,1.0
alpha[0],0.321,0.274,-0.207,0.817,0.008,0.012,1148.0,921.0,1.0
alpha[1],0.307,0.273,-0.218,0.79,0.008,0.012,1169.0,928.0,1.0
alpha[2],-0.464,0.274,-0.962,0.044,0.008,0.012,1162.0,913.0,1.0
alpha[3],0.204,0.273,-0.322,0.693,0.008,0.012,1167.0,931.0,1.0
alpha[4],-0.35,0.274,-0.877,0.139,0.008,0.012,1178.0,917.0,1.0
gamma[0],-0.133,0.26,-0.599,0.359,0.013,0.009,426.0,603.0,1.01
gamma[1],0.473,0.259,-0.005,0.956,0.013,0.009,414.0,563.0,1.01
gamma[2],-0.579,0.259,-1.057,-0.096,0.013,0.009,420.0,586.0,1.01
gamma[3],-0.103,0.264,-0.574,0.405,0.013,0.009,428.0,608.0,1.01
gamma[4],0.038,0.266,-0.444,0.54,0.013,0.009,413.0,592.0,1.01
gamma[5],-1.924,0.261,-2.417,-1.446,0.013,0.009,435.0,643.0,1.01
gamma[6],-1.369,0.792,-2.82,0.136,0.017,0.016,2259.0,2001.0,1.0
gamma[7],-0.415,0.264,-0.907,0.073,0.013,0.009,430.0,600.0,1.01
gamma[8],-0.669,1.165,-2.792,1.568,0.02,0.023,3329.0,2441.0,1.0
gamma[9],-0.815,0.266,-1.331,-0.338,0.013,0.009,440.0,669.0,1.01
gamma[10],-0.684,1.149,-2.826,1.368,0.02,0.026,3337.0,2411.0,1.0
gamma[11],-2.212,0.458,-3.063,-1.353,0.013,0.008,1169.0,1814.0,1.0
gamma[12],1.252,0.259,0.79,1.746,0.013,0.009,416.0,571.0,1.01
gamma[13],-1.095,0.261,-1.574,-0.612,0.013,0.009,426.0,580.0,1.01
gamma[14],0.111,0.26,-0.381,0.579,0.013,0.009,414.0,568.0,1.01
gamma[15],-0.18,0.259,-0.671,0.289,0.013,0.009,417.0,549.0,1.01
gamma[16],1.523,0.26,1.057,2.027,0.013,0.009,423.0,582.0,1.01
gamma[17],1.435,0.259,0.947,1.906,0.013,0.009,423.0,582.0,1.01
gamma[18],3.199,0.266,2.691,3.684,0.013,0.009,423.0,603.0,1.01
gamma[19],-0.113,0.261,-0.579,0.379,0.013,0.009,422.0,550.0,1.01
gamma[20],-0.758,0.26,-1.223,-0.274,0.013,0.009,419.0,559.0,1.01
gamma[21],-0.749,0.26,-1.224,-0.259,0.013,0.009,418.0,562.0,1.01
gamma[22],-0.926,0.26,-1.404,-0.441,0.013,0.009,427.0,604.0,1.01
gamma[23],0.707,0.259,0.246,1.207,0.013,0.009,424.0,559.0,1.01
gamma[24],0.489,0.261,0.008,0.969,0.013,0.009,423.0,563.0,1.01
gamma[25],1.522,0.26,1.05,2.01,0.013,0.009,419.0,589.0,1.01
gamma[26],1.746,0.261,1.28,2.247,0.013,0.009,424.0,606.0,1.01
alpha_sd,0.562,0.29,0.204,1.056,0.007,0.011,1963.0,1985.0,1.0
gamma_sd,1.319,0.21,0.973,1.719,0.004,0.004,2817.0,2221.0,1.0
